Start Link,End Link,process name,start,end,,
07-06-2020,,,,,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Air gun 1,3647,3752,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Core placement,3854,4402,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Air gun 2,4436,4550,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Air gun 1,5009,5235, ,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Core placement,5263,5534,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4,Air gun 2,5572,5739,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,248,486,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,1076,1552,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,,Air gun 1,2060,2146,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,3140,3446,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,3931,4361,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,4976,5230,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,Air gun 1,6046,6778, ,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4,,Air gun 1,7247,,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Air gun 1,202,226,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Core placement,228,256,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Air gun 2,563,714,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Air gun 1,1138,1166,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Core placement,1222,1503,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Air gun 2,1470,1640,,
https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,https://f002.backblazeb2.com/file/senseData/crescent/annotatedVideos/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,Air gun 1,2076,2105,,
