"","V1","V2","V3","V4","V5","V6"
"1","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","air gun 1","3647","3752","2020-06-07"
"2","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","core placement","3854","4402","2020-06-07"
"3","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","air gun 2","4436","4550","2020-06-07"
"4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","air gun 1","5009","5235","2020-06-07"
"5","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","core placement","5263","5534","2020-06-07"
"6","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185000_20200607185500.mp4","air gun 2","5572","5739","2020-06-07"
"7","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","248","486","2020-06-07"
"8","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","1076","1552","2020-06-07"
"9","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","","air gun 1","2060","2146","2020-06-07"
"10","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","3140","3446","2020-06-07"
"11","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","3931","4361","2020-06-07"
"12","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","4976","5230","2020-06-07"
"13","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","air gun 1","6046","6778","2020-06-07"
"14","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607201000_20200607201500.mp4","","air gun 1","7247","","2020-06-07"
"15","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 1","202","226","2020-06-07"
"16","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","core placement","228","256","2020-06-07"
"17","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 2","563","714","2020-06-07"
"18","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 1","1138","1166","2020-06-07"
"19","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","core placement","1222","1503","2020-06-07"
"20","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 2","1470","1640","2020-06-07"
"21","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 1","2076","2105","2020-06-07"
"22","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","core placement","2147","2580","2020-06-07"
"23","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 2","2556","2733","2020-06-07"
"24","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 1","3152","3182","2020-06-07"
"25","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","core placement","3240","3482","2020-06-07"
"26","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 2","3497","3635","2020-06-07"
"27","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4","air gun 1","4066","4091","2020-06-07"
